title,pdf_url,excel_url,source,year
Tabels+of+Marine+Fishing+puplication-12MAY-AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Tabels+of+Marine+Fishing+puplication-12MAY-AR.xlsx/bedd3c7a-8cf7-8506-78f7-8f66b9a24a9c?t=1734125425457,Saudi Statistics,Unknown
PPI_March_2026_AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/PPI_March_2026_AR.pdf/90d116c5-dc61-dc45-f9d1-0e0d2555eb07?t=1778672425657,,Saudi Statistics,2026
PPI+Mar+2026+AR-EN+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/PPI+Mar+2026+AR-EN+%281%29.xlsx/327a7d83-ecbc-6f6a-eb3a-7745a3cc9925?t=1778672448967,Saudi Statistics,2026
PPI_Feb_2026_AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/PPI_Feb_2026_AR.pdf/7be20b62-83d6-68fa-cbe5-6bcb9c6b2293?t=1776164500823,,Saudi Statistics,2026
PPI+Feb+2026+AR-EN+%282%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/PPI+Feb+2026+AR-EN+%282%29.xlsx/c1b37d3f-eae2-bd52-fb72-e15cc9b7f266?t=1776164524404,Saudi Statistics,2026
PPI_Jun_2026_AR+%282%29.pdf,https://www.stats.gov.sa/documents/20117/2435267/PPI_Jun_2026_AR+%282%29.pdf/c02f0518-5112-2a7a-eb84-671b47262563?t=1773659832089,,Saudi Statistics,2026
PPI+Jun+2026+AR-EN+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/PPI+Jun+2026+AR-EN+%281%29.xlsx/00c463f9-b166-4acc-4a2c-b3cd9703ae5c?t=1773567312598,Saudi Statistics,2026
PPI_Dec_2025_AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/PPI_Dec_2025_AR.pdf/267feb53-95bb-5f63-964b-a192b3b6db19?t=1771149927188,,Saudi Statistics,2025
PPI+Dec+2025+AR-EN+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/PPI+Dec+2025+AR-EN+%281%29.xlsx/4c361b18-2b6b-20b6-31c4-8f03ecc3180c?t=1771149944995,Saudi Statistics,2025
PPI_Nov_2025_AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/PPI_Nov_2025_AR.pdf/dba8f7eb-d2d7-4311-4a2d-06824c7a564b?t=1768390749061,,Saudi Statistics,2025
PPI+Nov2025+AR-EN+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/PPI+Nov2025+AR-EN+%281%29.xlsx/7eea2662-c207-e6f5-3472-5f2aea0c9024?t=1768390782205,Saudi Statistics,2025
PPI_OCT_2025_AR+%282%29.pdf,https://www.stats.gov.sa/documents/20117/2435267/PPI_OCT_2025_AR+%282%29.pdf/eee1a8ce-8534-af3e-ebcb-17048379bfdf?t=1767873704230,,Saudi Statistics,2025
PPI+Oct+2025+AR-EN+%288%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/PPI+Oct+2025+AR-EN+%288%29.xlsx/b7a4af83-0ab5-eff4-d280-d01a3e27379b?t=1767872551474,Saudi Statistics,2025
Saudi+Women+Statistics+2024_AR.pdf,https://www.stats.gov.sa/documents/20117/2435273/Saudi+Women+Statistics+2024_AR.pdf/32c02cd7-96c8-6f29-b373-2ba85e2ba293?t=1755765463683,,Saudi Statistics,2024
Saudi_Women%27s_Report_2022_AR_1.pdf,https://www.stats.gov.sa/documents/20117/2435259/Saudi_Women%27s_Report_2022_AR_1.pdf/fb7ced14-4e61-261e-c180-f632dc8ba6d6?t=1734055281330,,Saudi Statistics,2022
bulletin_of_culture_and_household_entertainment_survey_2018ar.pdf,https://www.stats.gov.sa/documents/20117/2435259/bulletin_of_culture_and_household_entertainment_survey_2018ar.pdf/09841c44-23bd-a88a-08b4-1ce77290bd55?t=1734952356559,,Saudi Statistics,2018
bulletin_of_culture_and_household_entertainment_survey_2018ar.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/bulletin_of_culture_and_household_entertainment_survey_2018ar.xlsx/45478226-417b-87e2-db32-72fafe2863c3?t=1734952371309,Saudi Statistics,2018
Numbers+of+annual+festivals+and+exhibitions+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Numbers+of+annual+festivals+and+exhibitions+2018+AR.pdf/7dace02e-454b-3f48-a847-d152a9930986?t=1734951379372,,Saudi Statistics,2018
Numbers+of+annual+festivals+and+exhibitions+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Numbers+of+annual+festivals+and+exhibitions+2018+AR.xlsx/f887485e-2524-177d-304e-6deac2fb840a?t=1734951388482,Saudi Statistics,2018
Types+of+museums+and+number+of+visits+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Types+of+museums+and+number+of+visits+2018+AR.pdf/618063c5-44a8-0629-1aac-df299b3ffbff?t=1734951446883,,Saudi Statistics,2018
Types+of+museums+and+number+of+visits+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Types+of+museums+and+number+of+visits+2018+AR.xlsx/02d62018-2b40-241d-48c2-d0ed03e53908?t=1734951456398,Saudi Statistics,2018
