title,pdf_url,excel_url,source,year,dataset_id,description
Education Policy,,https://api.worldbank.org/v2/sources/84/download?format=csv,World Bank,Unknown,84,
PEFA_2021_SNG,,https://api.worldbank.org/v2/sources/85/download?format=csv,World Bank,2021,85,
Global Jobs Indicators Database (JOIN),,https://api.worldbank.org/v2/sources/86/download?format=csv,World Bank,Unknown,86,
Country Climate and Development Report (CCDR),,https://api.worldbank.org/v2/sources/87/download?format=csv,World Bank,Unknown,87,
Food Prices for Nutrition,,https://api.worldbank.org/v2/sources/88/download?format=csv,World Bank,Unknown,88,
Identification for Development (ID4D) Data,,https://api.worldbank.org/v2/sources/89/download?format=csv,World Bank,Unknown,89,
ICP 2021,,https://api.worldbank.org/v2/sources/90/download?format=csv,World Bank,2021,90,
PEFA_CRPFM,,https://api.worldbank.org/v2/sources/91/download?format=csv,World Bank,Unknown,91,
Disability Data Hub (DDH),,https://api.worldbank.org/v2/sources/92/download?format=csv,World Bank,Unknown,92,
FPN Datahub Archive,,https://api.worldbank.org/v2/sources/93/download?format=csv,World Bank,Unknown,93,
